mes;media_compra;media_venda;
JAN;5.53350;5.53410
FEV;5.19598;5.19658
MAR;4.96778;4.96838
ABR;4.75742;4.75802
MAI;4.95445;4.95505
JUN;5.04861;5.04921
JUL;5.36748;5.36807
AGO;5.14270;5.14329
SET;5.23636;5.23696
OUT;5.24969;5.25030
NOV;5.27405;5.27465
DEZ;5.24183;5.24243
