Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0005-75;AVENIDA BOULEVARD THAUMATURGO;1031;;CENTRO;69980-000;DIESEL;03/07/2017;4,22;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;GASOLINA;03/07/2017;4,7;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0006-56;AVENIDA 25 DE AGOSTO;1350;;25 DE AGOSTO;69980-000;DIESEL;03/07/2017;4,22;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;GASOLINA;03/07/2017;4,64;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;ETANOL;03/07/2017;4,09;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO - EIRELI; 01.492.748/0003-83;AVENIDA COPACABANA;440;;COPACABANA;69980-000;DIESEL;03/07/2017;4,16;;R$ / litro;IPIRANGA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;GASOLINA;03/07/2017;4,7;3,5757;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;DIESEL;03/07/2017;4,22;3,0509;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;CARDINAL E OLIVEIRA LTDA; 03.608.766/0004-94;AVENIDA LAURO MULLER;943;;JOÃO ALVES;69980-000;DIESEL S10;03/07/2017;4,26;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AEROBRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA; 14.411.631/0001-08;AVENIDA GETULIO VARGAS;S/N;ESQUINA COM RUA AMAZONAS;COBAL;69980-000;GASOLINA;03/07/2017;4,67;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AEROBRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA; 14.411.631/0001-08;AVENIDA GETULIO VARGAS;S/N;ESQUINA COM RUA AMAZONAS;COBAL;69980-000;DIESEL;03/07/2017;4,18;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AEROBRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA; 14.411.631/0001-08;AVENIDA GETULIO VARGAS;S/N;ESQUINA COM RUA AMAZONAS;COBAL;69980-000;DIESEL S10;03/07/2017;4,23;;R$ / litro;BRANCA
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;GASOLINA;03/07/2017;4,6;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;CRUZEIRO DO SUL;AUTO POSTO IGARAPE PRETO LTDA; 34.711.457/0001-26;RODOVIA BR 364, KM 76;28271;SALA  02;ZONA RURAL;69980-000;DIESEL;03/07/2017;3,65;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
